time_period,time_identifier,geographic_level,country_code,country_name,population_count,number
2024,Reporting year,National,E92000001,England,Children starting to be looked after during the year,33050
2023,Reporting year,National,E92000001,England,Children starting to be looked after during the year,33090
2022,Reporting year,National,E92000001,England,Children starting to be looked after during the year,31100
2021,Reporting year,National,E92000001,England,Children starting to be looked after during the year,28480
2020,Reporting year,National,E92000001,England,Children starting to be looked after during the year,31010
2019,Reporting year,National,E92000001,England,Children starting to be looked after during the year,31780
2018,Reporting year,National,E92000001,England,Children starting to be looked after during the year,32190
2017,Reporting year,National,E92000001,England,Children starting to be looked after during the year,32940
2016,Reporting year,National,E92000001,England,Children starting to be looked after during the year,32170
2015,Reporting year,National,E92000001,England,Children starting to be looked after during the year,31350
2014,Reporting year,National,E92000001,England,Children starting to be looked after during the year,30730
2013,Reporting year,National,E92000001,England,Children starting to be looked after during the year,28970
2012,Reporting year,National,E92000001,England,Children starting to be looked after during the year,28390
2011,Reporting year,National,E92000001,England,Children starting to be looked after during the year,27510
2010,Reporting year,National,E92000001,England,Children starting to be looked after during the year,28090
2009,Reporting year,National,E92000001,England,Children starting to be looked after during the year,25680
2008,Reporting year,National,E92000001,England,Children starting to be looked after during the year,23250
2007,Reporting year,National,E92000001,England,Children starting to be looked after during the year,23960
2006,Reporting year,National,E92000001,England,Children starting to be looked after during the year,24590
2005,Reporting year,National,E92000001,England,Children starting to be looked after during the year,24910
2004,Reporting year,National,E92000001,England,Children starting to be looked after during the year,25020
2003,Reporting year,National,E92000001,England,Children starting to be looked after during the year,24390
2002,Reporting year,National,E92000001,England,Children starting to be looked after during the year,24810
2001,Reporting year,National,E92000001,England,Children starting to be looked after during the year,24630
2000,Reporting year,National,E92000001,England,Children starting to be looked after during the year,28400
1999,Reporting year,National,E92000001,England,Children starting to be looked after during the year,28090
1998,Reporting year,National,E92000001,England,Children starting to be looked after during the year,29610
1997,Reporting year,National,E92000001,England,Children starting to be looked after during the year,29560
1996,Reporting year,National,E92000001,England,Children starting to be looked after during the year,31710
1995,Reporting year,National,E92000001,England,Children starting to be looked after during the year,31720
1994,Reporting year,National,E92000001,England,Children starting to be looked after during the year,30220